mean_fit_time	std_fit_time	mean_score_time	std_score_time	param_alpha	param_gamma	param_kernel	params	split0_test_score	split1_test_score	split2_test_score	split3_test_score	split4_test_score	mean_test_score	std_test_score	rank_test_score	split0_train_score	split1_train_score	split2_train_score	split3_train_score	split4_train_score	mean_train_score	std_train_score
0.11117997169494628	0.025197722598820138	0.015194082260131836	0.005634716607649477	0.001	0.1	poly	{'alpha': 0.001, 'gamma': 0.1, 'kernel': 'poly'}	0.7067745893806718	0.7617638323060419	0.759106456557249	0.8812912445645497	0.8255253282215071	0.7868922902060038	0.06037551183024121	18	0.8139240535585538	0.7951039134314157	0.7946122910942974	0.7699464689722954	0.7791007659262091	0.7905374985965543	0.015094213371318025
0.09719271659851074	0.011476688549946832	0.012442636489868163	0.008433814936820473	0.001	0.1	rbf	{'alpha': 0.001, 'gamma': 0.1, 'kernel': 'rbf'}	0.8545692857579602	0.8936658345797333	0.8848796284829914	0.9634601481868555	0.9360749488834836	0.9065299691782048	0.038595561766678936	13	0.9182173930762133	0.9095830513873795	0.9119951424847386	0.900633085511264	0.9020948615742054	0.9085047068067602	0.006492007094119563
0.10127253532409668	0.008896441474273558	0.01636214256286621	0.00965946855623986	0.001	1	poly	{'alpha': 0.001, 'gamma': 1, 'kernel': 'poly'}	0.707099475562714	0.7618527943839806	0.7591916337155598	0.8808514553134957	0.825241496910102	0.7868473711771704	0.06010020343335939	26	0.8139253718949317	0.7951053360744316	0.794613596984398	0.7699480052037817	0.7791023201642826	0.7905389260643652	0.01509412381341319
0.08609600067138672	0.018863098826066176	0.00904383659362793	0.004950561953643981	0.001	1	rbf	{'alpha': 0.001, 'gamma': 1, 'kernel': 'rbf'}	0.9834510011204524	0.9943812089869807	0.9887737855592892	0.9952038273636913	0.9947887289430807	0.9913197103946988	0.004580208441949868	5	0.9930462200726586	0.9914405942504064	0.992465700171821	0.9916891529565977	0.991679342952629	0.9920642020808226	0.0006005372883772021
0.11216049194335938	0.02060127118651194	0.013413476943969726	0.00579064542442686	0.001	2	poly	{'alpha': 0.001, 'gamma': 2, 'kernel': 'poly'}	0.707100009989826	0.7618529188386693	0.7591917333548073	0.8808507871706248	0.8252410929971049	0.7868473084702063	0.060099781465515124	27	0.8139253718878461	0.7951053361169369	0.7946135969818724	0.7699480052096418	0.7791023202001822	0.7905389260792959	0.015094123806614023
0.08879785537719727	0.01565471746582603	0.017358922958374025	0.009048867232399936	0.001	2	rbf	{'alpha': 0.001, 'gamma': 2, 'kernel': 'rbf'}	0.9926081223661521	0.9978881974641552	0.9954367980136649	0.9988111275082465	0.9981961553584406	0.9965880801421318	0.0022971140582143455	4	0.9973608112021956	0.9967582067789623	0.9970886269788403	0.9967315376550312	0.9967184240991782	0.9969315213428415	0.0002547209504169328
0.08990979194641113	0.022463839147697416	0.013055801391601562	0.006875631827918471	0.01	0.1	poly	{'alpha': 0.01, 'gamma': 0.1, 'kernel': 'poly'}	0.7038318418533923	0.7608532366524912	0.7582533675222827	0.8849716552573715	0.8278608368677437	0.7871541876306563	0.06276129220488233	16	0.8137996978142465	0.7949697734242862	0.7944888363461104	0.7698015454233162	0.7789541925886563	0.7904028091193231	0.015102649227219433
0.09147453308105469	0.01953153033656047	0.012647771835327148	0.0133908444754254	0.01	0.1	rbf	{'alpha': 0.01, 'gamma': 0.1, 'kernel': 'rbf'}	0.7768811505888533	0.8339299907332528	0.8284608573857998	0.9499214390878834	0.8990746166150455	0.8576536108821671	0.06027979626579259	15	0.8732389919131694	0.861328151751035	0.8638214894652894	0.845385427406417	0.8503351115488869	0.8588218344169596	0.009916593223928507
0.11012678146362305	0.006639597135456272	0.01568121910095215	0.010308514587041809	0.01	1	poly	{'alpha': 0.01, 'gamma': 1, 'kernel': 'poly'}	0.7070913717399282	0.7618505891820843	0.7591919845633891	0.8808602015708765	0.8252461312411382	0.7868480556594833	0.06010583335391715	24	0.8139253703766343	0.7951053345977626	0.7946135955124558	0.7699480037645867	0.7791023186869189	0.7905389245876717	0.015094123790649866
0.1002120018005371	0.03688875906586452	0.013160467147827148	0.006054527645382642	0.01	1	rbf	{'alpha': 0.01, 'gamma': 1, 'kernel': 'rbf'}	0.962078054883589	0.9828641237504829	0.9744719755373299	0.9885695290447112	0.9902518385369539	0.9796471043506134	0.010371814892416358	7	0.9832126161478291	0.979904356859631	0.9818661299342833	0.9805088409177433	0.9798518125167857	0.9810687512752544	0.0012947759051805956
0.11314334869384765	0.022205327602299946	0.02083597183227539	0.0006035661447059201	0.01	2	poly	{'alpha': 0.01, 'gamma': 2, 'kernel': 'poly'}	0.7070967160721543	0.7618518346058242	0.7591929813454396	0.8808535208361504	0.8252420942977775	0.7868474294314691	0.06010161404210662	25	0.8139253714318812	0.795105335647657	0.7946135965337348	0.7699480048091064	0.7791023197617702	0.7905389256368299	0.015094123788448014
0.08222727775573731	0.02640199375181853	0.019432258605957032	0.008487563297401647	0.01	2	rbf	{'alpha': 0.01, 'gamma': 2, 'kernel': 'rbf'}	0.9808847060817976	0.993964479921232	0.9877304916208078	0.9954176522143271	0.9947450278359347	0.99054847153482	0.0055555106354133405	6	0.9924215527256862	0.9907277772947334	0.9917887525592695	0.9909979371523249	0.9909584942631989	0.9913789027990425	0.0006326038695485774
