mean_fit_time	std_fit_time	mean_score_time	std_score_time	param_criterion	param_max_features	param_splitter	params	split0_test_score	split1_test_score	split2_test_score	split3_test_score	split4_test_score	mean_test_score	std_test_score	rank_test_score	split0_train_score	split1_train_score	split2_train_score	split3_train_score	split4_train_score	mean_train_score	std_train_score
0.005291557312011719	0.000587686517218908	0.0011123180389404296	0.00032199265812718963	mse	auto	best	{'criterion': 'mse', 'max_features': 'auto', 'splitter': 'best'}	0.9998834895953078	0.99987512800072	0.9998989900240122	0.9998515504109691	0.9998440114808307	0.9998706339023681	2.030994026649287e-05	1	1.0	1.0	1.0	1.0	1.0	1.0	0.0
0.004653358459472656	0.00046965174390627487	0.0008754730224609375	7.204376700366067e-05	mse	auto	random	{'criterion': 'mse', 'max_features': 'auto', 'splitter': 'random'}	0.9998710096918476	0.9998258105456225	0.9998064256966368	0.999804580019825	0.999818289325643	0.9998252230559149	2.4183934520730103e-05	11	1.0	1.0	1.0	1.0	1.0	1.0	0.0
0.005374240875244141	0.0007634744764952595	0.00106048583984375	0.00020514252781763854	mse	sqrt	best	{'criterion': 'mse', 'max_features': 'sqrt', 'splitter': 'best'}	0.9998834895953078	0.99987512800072	0.9998989900240122	0.9998515504109691	0.9998440114808307	0.9998706339023681	2.030994026649287e-05	1	1.0	1.0	1.0	1.0	1.0	1.0	0.0
0.004813528060913086	0.00041551319096916654	0.0008347511291503906	2.7830873510265317e-05	mse	sqrt	random	{'criterion': 'mse', 'max_features': 'sqrt', 'splitter': 'random'}	0.9997560482388284	0.9998387851654233	0.9998116709704994	0.999768525181731	0.9997700530069185	0.9997890165126802	3.116587727167607e-05	15	1.0	1.0	1.0	1.0	1.0	1.0	0.0
0.005676889419555664	0.0005123344576658251	0.0009093761444091796	9.848221620077303e-05	mse	log2	best	{'criterion': 'mse', 'max_features': 'log2', 'splitter': 'best'}	0.9998834895953078	0.99987512800072	0.9998989900240122	0.9998515504109691	0.9998440114808307	0.9998706339023681	2.030994026649287e-05	1	1.0	1.0	1.0	1.0	1.0	1.0	0.0
0.004747629165649414	0.0003611337794635843	0.0009105205535888672	0.0001270090479167946	mse	log2	random	{'criterion': 'mse', 'max_features': 'log2', 'splitter': 'random'}	0.999820903281398	0.9998412567540406	0.9998511608192899	0.9998014266589735	0.9998255205076332	0.9998280536042671	1.717442552987827e-05	10	1.0	1.0	1.0	1.0	1.0	1.0	0.0
0.00507960319519043	0.0004156290742456509	0.0008621692657470703	3.973269762949556e-05	friedman_mse	auto	best	{'criterion': 'friedman_mse', 'max_features': 'auto', 'splitter': 'best'}	0.9998834895953078	0.99987512800072	0.9998989900240122	0.9998515504109691	0.9998440114808307	0.9998706339023681	2.030994026649287e-05	1	1.0	1.0	1.0	1.0	1.0	1.0	0.0
0.004569816589355469	0.00012513522625586535	0.0009884834289550781	0.00019258171255186624	friedman_mse	auto	random	{'criterion': 'friedman_mse', 'max_features': 'auto', 'splitter': 'random'}	0.9998481727280512	0.9996337099923609	0.9998523729466441	0.9998058488561085	0.9997735931990817	0.9997827395444492	7.994725202545629e-05	17	1.0	1.0	1.0	1.0	1.0	1.0	0.0
0.005508136749267578	0.0002890658826067266	0.0009449481964111328	0.0001564726875963276	friedman_mse	sqrt	best	{'criterion': 'friedman_mse', 'max_features': 'sqrt', 'splitter': 'best'}	0.9998834895953078	0.99987512800072	0.9998989900240122	0.9998515504109691	0.9998440114808307	0.9998706339023681	2.030994026649287e-05	1	1.0	1.0	1.0	1.0	1.0	1.0	0.0
0.004952907562255859	0.0003942513442740352	0.0008992195129394531	7.82811524693111e-05	friedman_mse	sqrt	random	{'criterion': 'friedman_mse', 'max_features': 'sqrt', 'splitter': 'random'}	0.9998156200025805	0.9997410860823537	0.999827876252048	0.9997256053126978	0.9997744612392104	0.9997769297777781	4.0043830076341074e-05	18	1.0	1.0	1.0	1.0	1.0	1.0	0.0
0.005284261703491211	0.00045567533858651067	0.0008646011352539063	0.0001367683020162815	friedman_mse	log2	best	{'criterion': 'friedman_mse', 'max_features': 'log2', 'splitter': 'best'}	0.9998834895953078	0.99987512800072	0.9998989900240122	0.9998515504109691	0.9998440114808307	0.9998706339023681	2.030994026649287e-05	1	1.0	1.0	1.0	1.0	1.0	1.0	0.0
0.004548501968383789	0.00017688546735870314	0.0009594440460205078	0.00016693063039366804	friedman_mse	log2	random	{'criterion': 'friedman_mse', 'max_features': 'log2', 'splitter': 'random'}	0.9998475610722061	0.9998155867109673	0.9997367838707037	0.9997726925059751	0.9997692655541413	0.9997883779427987	3.877170224681725e-05	16	1.0	1.0	1.0	1.0	1.0	1.0	0.0
