mean_fit_time	std_fit_time	mean_score_time	std_score_time	param_algorithm	param_leaf_size	param_n_neighbors	param_p	param_weights	params	split0_test_score	split1_test_score	split2_test_score	split3_test_score	split4_test_score	mean_test_score	std_test_score	rank_test_score	split0_train_score	split1_train_score	split2_train_score	split3_train_score	split4_train_score	mean_train_score	std_train_score
0.001984262466430664	0.00010011384359899214	0.0029919624328613283	0.0002662925020331714	ball_tree	1	1	1	uniform	{'algorithm': 'ball_tree', 'leaf_size': 1, 'n_neighbors': 1, 'p': 1, 'weights': 'uniform'}	0.99994620398135	0.999928973574159	0.9999445411942772	0.9999175626067838	0.9999143287129313	0.9999303220139003	1.322745944051687e-05	117	1.0	1.0	1.0	1.0	1.0	1.0	0.0
0.0022040367126464843	0.00023742983838733047	0.004529190063476562	0.00037922788742481565	ball_tree	1	1	1	distance	{'algorithm': 'ball_tree', 'leaf_size': 1, 'n_neighbors': 1, 'p': 1, 'weights': 'distance'}	0.99994620398135	0.999928973574159	0.9999445411942772	0.9999175626067838	0.9999143287129313	0.9999303220139003	1.322745944051687e-05	117	1.0	1.0	1.0	1.0	1.0	1.0	0.0
0.001921701431274414	0.00011227458716981443	0.0027823448181152344	0.00023490307113611638	ball_tree	1	1	2	uniform	{'algorithm': 'ball_tree', 'leaf_size': 1, 'n_neighbors': 1, 'p': 2, 'weights': 'uniform'}	0.99994620398135	0.999928973574159	0.9999445411942772	0.9999175626067838	0.9999143287129313	0.9999303220139003	1.322745944051687e-05	117	1.0	1.0	1.0	1.0	1.0	1.0	0.0
0.0020679950714111326	0.0002839214493859036	0.005969905853271484	0.0021477122318341625	ball_tree	1	1	2	distance	{'algorithm': 'ball_tree', 'leaf_size': 1, 'n_neighbors': 1, 'p': 2, 'weights': 'distance'}	0.99994620398135	0.999928973574159	0.9999445411942772	0.9999175626067838	0.9999143287129313	0.9999303220139003	1.322745944051687e-05	117	1.0	1.0	1.0	1.0	1.0	1.0	0.0
0.00193634033203125	9.842600447694312e-05	0.0028223514556884764	0.00013075822605256626	ball_tree	1	5	1	uniform	{'algorithm': 'ball_tree', 'leaf_size': 1, 'n_neighbors': 5, 'p': 1, 'weights': 'uniform'}	0.9999507924594905	0.9999580932342297	0.9999725525218311	0.999934038956303	0.9999181300472328	0.9999467214438174	1.892854365952743e-05	69	0.9999700087097627	0.9999678943532502	0.9999739794415553	0.9999602262718547	0.9999369690294341	0.9999618155611714	1.320541830368499e-05
0.001991128921508789	0.00016969867403852874	0.005904054641723633	0.0006450891913307437	ball_tree	1	5	1	distance	{'algorithm': 'ball_tree', 'leaf_size': 1, 'n_neighbors': 5, 'p': 1, 'weights': 'distance'}	0.9999842320252039	0.999970120071002	0.9999866429828554	0.9999592500916905	0.9999783097520165	0.9999757109845536	1.0010890281620915e-05	5	1.0	1.0	1.0	1.0	1.0	1.0	0.0
0.001779031753540039	5.805194247851558e-05	0.0028066158294677733	8.514306343875607e-05	ball_tree	1	5	2	uniform	{'algorithm': 'ball_tree', 'leaf_size': 1, 'n_neighbors': 5, 'p': 2, 'weights': 'uniform'}	0.9999507924594905	0.9999580932342297	0.9999725525218311	0.999934038956303	0.9999181300472328	0.9999467214438174	1.892854365952743e-05	69	0.9999700087097627	0.9999678943532502	0.9999739794415553	0.9999602262718547	0.9999369690294341	0.9999618155611714	1.320541830368499e-05
0.0029637813568115234	0.0019544522657670258	0.005724334716796875	0.0008044525733953348	ball_tree	1	5	2	distance	{'algorithm': 'ball_tree', 'leaf_size': 1, 'n_neighbors': 5, 'p': 2, 'weights': 'distance'}	0.9999842320252039	0.999970120071002	0.9999866429828554	0.9999592500916905	0.9999783097520165	0.9999757109845536	1.0010890281620915e-05	5	1.0	1.0	1.0	1.0	1.0	1.0	0.0
0.0020474910736083983	0.00021585404309260283	0.0038308620452880858	0.0007988186708677242	ball_tree	1	10	1	uniform	{'algorithm': 'ball_tree', 'leaf_size': 1, 'n_neighbors': 10, 'p': 1, 'weights': 'uniform'}	0.9999373804362478	0.9999124284875023	0.999955169210336	0.9998368686794854	0.9997258590753048	0.9998735411777752	8.414949197802076e-05	197	0.9998987458164182	0.999878326051494	0.999920413709815	0.9998934015482043	0.9998329780807441	0.999884773041335	2.9203521858304635e-05
0.0019311904907226562	0.0001237227496877268	0.007510566711425781	0.0018528046285362894	ball_tree	1	10	1	distance	{'algorithm': 'ball_tree', 'leaf_size': 1, 'n_neighbors': 10, 'p': 1, 'weights': 'distance'}	0.9999822143903434	0.9999647789432485	0.9999890861381737	0.9999260614573636	0.9999484627025093	0.9999621207263276	2.291186321383996e-05	33	1.0	1.0	1.0	1.0	1.0	1.0	0.0
0.0027357101440429687	0.001548731837552642	0.0038168907165527345	0.0007320657965981157	ball_tree	1	10	2	uniform	{'algorithm': 'ball_tree', 'leaf_size': 1, 'n_neighbors': 10, 'p': 2, 'weights': 'uniform'}	0.9999373804362478	0.9999124284875023	0.999955169210336	0.9998368686794854	0.9997258590753048	0.9998735411777752	8.414949197802076e-05	197	0.9998987458164182	0.999878326051494	0.999920413709815	0.9998934015482043	0.9998329780807441	0.999884773041335	2.9203521858304635e-05
0.001939105987548828	0.00019664433714253407	0.006079626083374023	0.0005099791441605091	ball_tree	1	10	2	distance	{'algorithm': 'ball_tree', 'leaf_size': 1, 'n_neighbors': 10, 'p': 2, 'weights': 'distance'}	0.9999822143903434	0.9999647789432485	0.9999890861381737	0.9999260614573636	0.9999484627025093	0.9999621207263276	2.291186321383996e-05	33	1.0	1.0	1.0	1.0	1.0	1.0	0.0
0.0019744396209716796	0.0001759135323681621	0.004065942764282226	0.00026643100306977775	ball_tree	1	20	1	uniform	{'algorithm': 'ball_tree', 'leaf_size': 1, 'n_neighbors': 20, 'p': 1, 'weights': 'uniform'}	0.999356685725116	0.999318955231281	0.9999169375128938	0.9988278734217001	0.9981692024568978	0.9991179308695777	0.0005865228410215647	251	0.9992074025821053	0.999247638847644	0.9996205653553912	0.9990363998117983	0.998816115483688	0.9991856244161254	0.0002654424730773502
0.0019980430603027343	0.0003152480265606432	0.006981658935546875	0.00015586744028943606	ball_tree	1	20	1	distance	{'algorithm': 'ball_tree', 'leaf_size': 1, 'n_neighbors': 20, 'p': 1, 'weights': 'distance'}	0.9999550339551208	0.9999452861583844	0.9999875513703893	0.9998320270869476	0.999858749693701	0.9999157296529088	5.971534072573108e-05	181	1.0	1.0	1.0	1.0	1.0	1.0	0.0
0.0018934249877929688	0.00012021372116680895	0.003988981246948242	0.00012470982839879712	ball_tree	1	20	2	uniform	{'algorithm': 'ball_tree', 'leaf_size': 1, 'n_neighbors': 20, 'p': 2, 'weights': 'uniform'}	0.999356685725116	0.999318955231281	0.9999169375128938	0.9988278734217001	0.9981692024568978	0.9991179308695777	0.0005865228410215647	251	0.9992074025821053	0.999247638847644	0.9996205653553912	0.9990363998117983	0.998816115483688	0.9991856244161254	0.0002654424730773502
0.0021366596221923826	0.00045668483305563045	0.007332420349121094	0.00015796123155546054	ball_tree	1	20	2	distance	{'algorithm': 'ball_tree', 'leaf_size': 1, 'n_neighbors': 20, 'p': 2, 'weights': 'distance'}	0.9999550339551208	0.9999452861583844	0.9999875513703893	0.9998320270869476	0.999858749693701	0.9999157296529088	5.971534072573108e-05	181	1.0	1.0	1.0	1.0	1.0	1.0	0.0
0.0029406070709228514	0.0019270975125782205	0.002818441390991211	0.0005387236194084666	ball_tree	10	1	1	uniform	{'algorithm': 'ball_tree', 'leaf_size': 10, 'n_neighbors': 1, 'p': 1, 'weights': 'uniform'}	0.9999462138751406	0.9999289690841778	0.9999445394310355	0.9999176839847139	0.9999143311091888	0.9999303474968512	1.3205621460675816e-05	113	1.0	1.0	1.0	1.0	1.0	1.0	0.0
0.002049541473388672	0.00025722916745587614	0.004557943344116211	0.00041631913618211616	ball_tree	10	1	1	distance	{'algorithm': 'ball_tree', 'leaf_size': 10, 'n_neighbors': 1, 'p': 1, 'weights': 'distance'}	0.9999462138751406	0.9999289690841778	0.9999445394310355	0.9999176839847139	0.9999143311091888	0.9999303474968512	1.3205621460675816e-05	113	1.0	1.0	1.0	1.0	1.0	1.0	0.0
0.0028382301330566405	0.002191163449026338	0.003224468231201172	0.0008430007154217221	ball_tree	10	1	2	uniform	{'algorithm': 'ball_tree', 'leaf_size': 10, 'n_neighbors': 1, 'p': 2, 'weights': 'uniform'}	0.9999462138751406	0.9999289690841778	0.9999445394310355	0.9999176839847139	0.9999143311091888	0.9999303474968512	1.3205621460675816e-05	113	1.0	1.0	1.0	1.0	1.0	1.0	0.0
0.0019182682037353516	0.0002055536201782256	0.0044672489166259766	0.0004094603481760438	ball_tree	10	1	2	distance	{'algorithm': 'ball_tree', 'leaf_size': 10, 'n_neighbors': 1, 'p': 2, 'weights': 'distance'}	0.9999462138751406	0.9999289690841778	0.9999445394310355	0.9999176839847139	0.9999143311091888	0.9999303474968512	1.3205621460675816e-05	113	1.0	1.0	1.0	1.0	1.0	1.0	0.0
