mean_fit_time	std_fit_time	mean_score_time	std_score_time	param_criterion	param_max_features	param_splitter	params	split0_test_score	split1_test_score	split2_test_score	split3_test_score	split4_test_score	mean_test_score	std_test_score	rank_test_score	split0_train_score	split1_train_score	split2_train_score	split3_train_score	split4_train_score	mean_train_score	std_train_score
0.007527875900268555	0.000960489294227101	0.0010929584503173828	0.00033770964233543755	mse	auto	best	{'criterion': 'mse', 'max_features': 'auto', 'splitter': 'best'}	0.993876239963584	0.9959743576416282	0.9947244205896586	0.9980870708785374	0.9952648854618004	0.9955853949070418	0.0014265264368867679	1	1.0	1.0	1.0	1.0	1.0	1.0	0.0
0.004437303543090821	0.00047673516613241153	0.0009607791900634766	0.00013100370025726096	mse	auto	random	{'criterion': 'mse', 'max_features': 'auto', 'splitter': 'random'}	0.9891633445931831	0.9886253669991611	0.9930699587996565	0.997825364961769	0.9952577963805097	0.992788366346856	0.0035219335692409067	16	1.0	1.0	1.0	1.0	1.0	1.0	0.0
0.006869983673095703	0.0007464884478076405	0.001129913330078125	0.0002159200791457891	mse	sqrt	best	{'criterion': 'mse', 'max_features': 'sqrt', 'splitter': 'best'}	0.993876239963584	0.9959743576416282	0.9947244205896586	0.9980870708785374	0.9952648854618004	0.9955853949070418	0.0014265264368867679	1	1.0	1.0	1.0	1.0	1.0	1.0	0.0
0.0041309833526611325	0.00021950672248379814	0.0009191036224365234	0.00010853938713159597	mse	sqrt	random	{'criterion': 'mse', 'max_features': 'sqrt', 'splitter': 'random'}	0.9938766449718804	0.9879338266064346	0.994204747654903	0.9936944021121493	0.9957700696440513	0.9930959381978838	0.0026831136990285703	14	1.0	1.0	1.0	1.0	1.0	1.0	0.0
0.0057507514953613285	0.00023335976941531953	0.0009601116180419922	0.00024963033226063424	mse	log2	best	{'criterion': 'mse', 'max_features': 'log2', 'splitter': 'best'}	0.993876239963584	0.9959743576416282	0.9947244205896586	0.9980870708785374	0.9952648854618004	0.9955853949070418	0.0014265264368867679	1	1.0	1.0	1.0	1.0	1.0	1.0	0.0
0.004402875900268555	0.00031711510196210074	0.0008713722229003907	0.00014772607557054802	mse	log2	random	{'criterion': 'mse', 'max_features': 'log2', 'splitter': 'random'}	0.9938149441940012	0.9926733849996333	0.9941700922913685	0.9958076039909809	0.995746767008322	0.9944425584968613	0.0011968643575582679	12	1.0	1.0	1.0	1.0	1.0	1.0	0.0
0.00708317756652832	0.0009233376403573452	0.0011983871459960937	0.00024387955676951023	friedman_mse	auto	best	{'criterion': 'friedman_mse', 'max_features': 'auto', 'splitter': 'best'}	0.993876239963584	0.9959743576416282	0.9947244205896586	0.9980870708785374	0.9952648854618004	0.9955853949070418	0.0014265264368867679	1	1.0	1.0	1.0	1.0	1.0	1.0	0.0
0.004463291168212891	0.00031666172279552345	0.0008646011352539063	5.7990652496424085e-05	friedman_mse	auto	random	{'criterion': 'friedman_mse', 'max_features': 'auto', 'splitter': 'random'}	0.9908104434684813	0.9880023238669037	0.9936310316565063	0.9957986826417711	0.9952972955549307	0.9927079554377187	0.002927554158399616	17	1.0	1.0	1.0	1.0	1.0	1.0	0.0
0.0059144020080566405	0.00026336754424964093	0.0010465621948242188	0.0001755702242998131	friedman_mse	sqrt	best	{'criterion': 'friedman_mse', 'max_features': 'sqrt', 'splitter': 'best'}	0.993876239963584	0.9959743576416282	0.9947244205896586	0.9980870708785374	0.9952648854618004	0.9955853949070418	0.0014265264368867679	1	1.0	1.0	1.0	1.0	1.0	1.0	0.0
0.005748462677001953	0.0005140135679142293	0.0011232376098632812	0.0001461627933328953	friedman_mse	sqrt	random	{'criterion': 'friedman_mse', 'max_features': 'sqrt', 'splitter': 'random'}	0.9887399716701979	0.9951242233793135	0.9947378014272943	0.9980771646910055	0.995767391341103	0.9944893105017828	0.003099224013118326	11	1.0	1.0	1.0	1.0	1.0	1.0	0.0
0.00605616569519043	0.0005808571560938612	0.000857400894165039	9.346718663836946e-05	friedman_mse	log2	best	{'criterion': 'friedman_mse', 'max_features': 'log2', 'splitter': 'best'}	0.993876239963584	0.9959743576416282	0.9947244205896586	0.9980870708785374	0.9952648854618004	0.9955853949070418	0.0014265264368867679	1	1.0	1.0	1.0	1.0	1.0	1.0	0.0
0.004674339294433593	0.00033603755552628954	0.0008848190307617187	0.00010294729825691907	friedman_mse	log2	random	{'criterion': 'friedman_mse', 'max_features': 'log2', 'splitter': 'random'}	0.9888106978793809	0.9876665106134936	0.994456965640309	0.9980849375798183	0.995733034030074	0.9929504291486152	0.00403566324225638	15	1.0	1.0	1.0	1.0	1.0	1.0	0.0
0.5231458187103272	0.01716968815471909	0.0008933067321777344	6.518006402166786e-05	mae	auto	best	{'criterion': 'mae', 'max_features': 'auto', 'splitter': 'best'}	0.993876239963584	0.9959743576416282	0.9947244205896586	0.9980870708785374	0.9952648854618004	0.9955853949070418	0.0014265264368867679	1	1.0	1.0	1.0	1.0	1.0	1.0	0.0
0.18565568923950196	0.012341541817380237	0.0009089946746826172	2.642581454641996e-05	mae	auto	random	{'criterion': 'mae', 'max_features': 'auto', 'splitter': 'random'}	0.9919059069867963	0.9879757168325513	0.993056384642325	0.9910167675023975	0.9957522326472222	0.9919414017222584	0.002543559875919412	18	1.0	1.0	1.0	1.0	1.0	1.0	0.0
