mean_fit_time	std_fit_time	mean_score_time	std_score_time	param_algorithm	param_leaf_size	param_n_neighbors	param_p	param_weights	params	split0_test_score	split1_test_score	split2_test_score	split3_test_score	split4_test_score	mean_test_score	std_test_score	rank_test_score	split0_train_score	split1_train_score	split2_train_score	split3_train_score	split4_train_score	mean_train_score	std_train_score
0.007457113265991211	0.0006238251640830245	0.003695058822631836	0.0025799342610038504	ball_tree	1	1	1	uniform	{'algorithm': 'ball_tree', 'leaf_size': 1, 'n_neighbors': 1, 'p': 1, 'weights': 'uniform'}	0.9999335368747568	0.9999089096678074	0.999930091733369	0.9998913722011478	0.9998853187145843	0.9999098458383331	1.9569838824745356e-05	117	1.0	1.0	1.0	1.0	1.0	1.0	0.0
0.009860897064208984	0.0036261998114893485	0.011579132080078125	0.006828577101259972	ball_tree	1	1	1	distance	{'algorithm': 'ball_tree', 'leaf_size': 1, 'n_neighbors': 1, 'p': 1, 'weights': 'distance'}	0.9999335368747568	0.9999089096678074	0.999930091733369	0.9998913722011478	0.9998853187145843	0.9999098458383331	1.9569838824745356e-05	117	1.0	1.0	1.0	1.0	1.0	1.0	0.0
0.014192152023315429	0.006229254507501794	0.004705190658569336	0.0031454742211814	ball_tree	1	1	2	uniform	{'algorithm': 'ball_tree', 'leaf_size': 1, 'n_neighbors': 1, 'p': 2, 'weights': 'uniform'}	0.9999335368747568	0.9999089096678074	0.999930091733369	0.9998913722011478	0.9998853187145843	0.9999098458383331	1.9569838824745356e-05	117	1.0	1.0	1.0	1.0	1.0	1.0	0.0
0.013021898269653321	0.008562445576533803	0.010268688201904297	0.008200343661084948	ball_tree	1	1	2	distance	{'algorithm': 'ball_tree', 'leaf_size': 1, 'n_neighbors': 1, 'p': 2, 'weights': 'distance'}	0.9999335368747568	0.9999089096678074	0.999930091733369	0.9998913722011478	0.9998853187145843	0.9999098458383331	1.9569838824745356e-05	117	1.0	1.0	1.0	1.0	1.0	1.0	0.0
0.006811332702636719	0.0003779709943995517	0.005953598022460938	0.004680622433767367	ball_tree	1	5	1	uniform	{'algorithm': 'ball_tree', 'leaf_size': 1, 'n_neighbors': 5, 'p': 1, 'weights': 'uniform'}	0.9999366156444615	0.9999471419502058	0.999966591234859	0.9999133026739485	0.999889953263405	0.9999307209533759	2.6670112925636937e-05	69	0.9999616021417272	0.999958532520952	0.9999666529284753	0.9999474763095686	0.9999151561224505	0.9999498840046348	1.8466895649849844e-05
0.009489917755126953	0.004900878340688769	0.009133720397949218	0.005737344703715481	ball_tree	1	5	1	distance	{'algorithm': 'ball_tree', 'leaf_size': 1, 'n_neighbors': 5, 'p': 1, 'weights': 'distance'}	0.9999800818640008	0.9999610692040594	0.9999837285826926	0.9999461034381543	0.9999712902500142	0.9999684546677841	1.364292663229707e-05	5	1.0	1.0	1.0	1.0	1.0	1.0	0.0
0.01176438331604004	0.006224165224687021	0.008441352844238281	0.008181508906148478	ball_tree	1	5	2	uniform	{'algorithm': 'ball_tree', 'leaf_size': 1, 'n_neighbors': 5, 'p': 2, 'weights': 'uniform'}	0.9999366156444615	0.9999471419502058	0.999966591234859	0.9999133026739485	0.999889953263405	0.9999307209533759	2.6670112925636937e-05	69	0.9999616021417272	0.999958532520952	0.9999666529284753	0.9999474763095686	0.9999151561224505	0.9999498840046348	1.8466895649849844e-05
0.013933753967285157	0.007282689067617805	0.010256671905517578	0.006048218765585825	ball_tree	1	5	2	distance	{'algorithm': 'ball_tree', 'leaf_size': 1, 'n_neighbors': 5, 'p': 2, 'weights': 'distance'}	0.9999800818640008	0.9999610692040594	0.9999837285826926	0.9999461034381543	0.9999712902500142	0.9999684546677841	1.364292663229707e-05	5	1.0	1.0	1.0	1.0	1.0	1.0	0.0
0.009119892120361328	0.0028608045240311273	0.012100410461425782	0.008127586135813011	ball_tree	1	10	1	uniform	{'algorithm': 'ball_tree', 'leaf_size': 1, 'n_neighbors': 10, 'p': 1, 'weights': 'uniform'}	0.9999211696625008	0.9998844904719095	0.9999443565383286	0.9997784730579148	0.9996244980854032	0.9998305975632114	0.00011767991672546778	197	0.9998657478359047	0.9998380715007803	0.999894516639734	0.9998568709755543	0.9997735868591602	0.9998457587622266	4.0418442699717235e-05
0.010129785537719727	0.004616956410612378	0.008387136459350585	0.00429991092543178	ball_tree	1	10	1	distance	{'algorithm': 'ball_tree', 'leaf_size': 1, 'n_neighbors': 10, 'p': 1, 'weights': 'distance'}	0.9999778559320385	0.999953238555216	0.9999874514446884	0.9998990611220765	0.9999298802859625	0.9999494974679963	3.2209816465939206e-05	33	1.0	1.0	1.0	1.0	1.0	1.0	0.0
0.011596155166625977	0.004341849473499658	0.007491540908813476	0.005332254613779008	ball_tree	1	10	2	uniform	{'algorithm': 'ball_tree', 'leaf_size': 1, 'n_neighbors': 10, 'p': 2, 'weights': 'uniform'}	0.9999211696625008	0.9998844904719095	0.9999443565383286	0.9997784730579148	0.9996244980854032	0.9998305975632114	0.00011767991672546778	197	0.9998657478359047	0.9998380715007803	0.999894516639734	0.9998568709755543	0.9997735868591602	0.9998457587622266	4.0418442699717235e-05
0.01392068862915039	0.008676418052213515	0.008270072937011718	0.006579733044355068	ball_tree	1	10	2	distance	{'algorithm': 'ball_tree', 'leaf_size': 1, 'n_neighbors': 10, 'p': 2, 'weights': 'distance'}	0.9999778559320385	0.999953238555216	0.9999874514446884	0.9998990611220765	0.9999298802859625	0.9999494974679963	3.2209816465939206e-05	33	1.0	1.0	1.0	1.0	1.0	1.0	0.0
