mean_fit_time	std_fit_time	mean_score_time	std_score_time	param_alpha	param_gamma	param_kernel	params	split0_test_score	split1_test_score	split2_test_score	split3_test_score	split4_test_score	mean_test_score	std_test_score	rank_test_score	split0_train_score	split1_train_score	split2_train_score	split3_train_score	split4_train_score	mean_train_score	std_train_score
0.11117968559265137	0.033447971932107176	0.012614679336547852	0.004993855219589131	0.001	0.1	poly	{'alpha': 0.001, 'gamma': 0.1, 'kernel': 'poly'}	0.9718716114658921	0.9742629460208514	0.9617922605795896	0.9809632750224714	0.978360631254084	0.9734501448685776	0.006627498483795492	18	0.9776347934590259	0.9771146195646538	0.9776546400717595	0.9749331260553517	0.9757225104381037	0.9766119379177789	0.0010950470847692685
0.10340924263000488	0.02245113533276079	0.008043479919433594	0.0037165334759294896	0.001	0.1	rbf	{'alpha': 0.001, 'gamma': 0.1, 'kernel': 'rbf'}	0.9938389598691585	0.9942873540108056	0.9927340628197351	0.996379908981896	0.9951321760943679	0.9944744923551927	0.0012272878790838579	11	0.9950439838187761	0.9950046855514111	0.9951835354940969	0.9945952821241019	0.9946790321283037	0.9949013038233379	0.00022527941121805093
0.11406188011169434	0.0392467190735619	0.017298507690429687	0.011899124730130611	0.001	1	poly	{'alpha': 0.001, 'gamma': 1, 'kernel': 'poly'}	0.9718520299952886	0.9742695151973246	0.961686517484094	0.9809728018500857	0.9783835236726708	0.9734328776398927	0.006671362257065774	26	0.9776353266153754	0.977115155503867	0.9776551224143983	0.9749336885486557	0.9757230729275227	0.9766124732019639	0.0010950239031659167
0.08618106842041015	0.025474964862318313	0.011062335968017579	0.0058895582139859	0.001	1	rbf	{'alpha': 0.001, 'gamma': 1, 'kernel': 'rbf'}	0.9998752992890237	0.9998553532173909	0.9998468308191674	0.9998713969531485	0.9998748101585428	0.9998647380874548	1.154185540148016e-05	5	0.9998745246914229	0.9998734236809815	0.9998794545375962	0.9998733418506496	0.9998730428578004	0.9998747575236901	2.401645108699876e-06
0.13413286209106445	0.032319806770559255	0.015531158447265625	0.0056827195567314085	0.001	2	poly	{'alpha': 0.001, 'gamma': 2, 'kernel': 'poly'}	0.971852016973416	0.9742695249773574	0.9616863968633942	0.9809728052186548	0.9783835473853763	0.9734328582836398	0.006671409875981228	27	0.9776353266186671	0.9771151555080723	0.9776551224162856	0.9749336885511033	0.9757230729296518	0.976612473204756	0.0010950239034300255
0.07373228073120117	0.010120513966638118	0.011042356491088867	0.005804412069594221	0.001	2	rbf	{'alpha': 0.001, 'gamma': 2, 'kernel': 'rbf'}	0.9999443344931546	0.9999506240678065	0.9999441709936259	0.9999666476798114	0.9999550146919794	0.9999521583852756	8.312207739392846e-06	3	0.999960800414309	0.9999557977933122	0.9999592898343942	0.9999528822833731	0.9999535752279358	0.9999564691106648	3.111502141199858e-06
0.11737208366394043	0.05386122991817076	0.01694488525390625	0.010634231429901065	0.01	0.1	poly	{'alpha': 0.01, 'gamma': 0.1, 'kernel': 'poly'}	0.9719895683017858	0.9741535837972858	0.9626454373811789	0.9808357993135154	0.9781188066184606	0.9735486390824454	0.006255647091806819	16	0.9775844984256177	0.977064082645885	0.977609037454379	0.9748800592228023	0.9756694612166257	0.976561427793062	0.0010972170309729735
0.08527398109436035	0.026630565775043018	0.016189384460449218	0.008067510009479521	0.01	0.1	rbf	{'alpha': 0.01, 'gamma': 0.1, 'kernel': 'rbf'}	0.9864133321256454	0.9868872212391437	0.9840911962110935	0.9908071126690284	0.9882050276003186	0.987280777969046	0.0022077162308030067	15	0.988566925702106	0.9883996312559393	0.9890251181079631	0.987474479304028	0.9877808912612879	0.9882494091262648	0.0005559016293661762
0.10104975700378419	0.012489127501990764	0.019254398345947266	0.005580523188616036	0.01	1	poly	{'alpha': 0.01, 'gamma': 1, 'kernel': 'poly'}	0.9718521575291827	0.9742693323110531	0.9616886860310296	0.9809727109922155	0.9783830022549138	0.973433177823679	0.006670490075931216	24	0.9776353261615736	0.9771151550465613	0.9776551219842906	0.9749336880643741	0.9757230724533165	0.9766124727420232	0.0010950239200166819
0.09604916572570801	0.00875253888439644	0.01717519760131836	0.014193535008065555	0.01	1	rbf	{'alpha': 0.01, 'gamma': 1, 'kernel': 'rbf'}	0.9995018502663654	0.9994478227179856	0.9994553536323911	0.9995455003106462	0.999573174567177	0.999504740298913	4.905432451111455e-05	7	0.9995273485375182	0.9995428809393747	0.9995602311020592	0.9995378150045339	0.999523952632725	0.9995384456432422	1.2867547413009195e-05
0.11218676567077637	0.013168112042168553	0.02106156349182129	0.00026734565771703334	0.01	2	poly	{'alpha': 0.01, 'gamma': 2, 'kernel': 'poly'}	0.9718520275505694	0.9742694303560677	0.9616874801687149	0.980972744905942	0.9783832395626064	0.9734329845087801	0.00667096620747242	25	0.9776353263796108	0.9771151552697512	0.9776551221892512	0.9749336883022045	0.9757230726876872	0.976612472965701	0.0010950239092772473
0.0901411533355713	0.02062815158676658	0.014428091049194337	0.010635131172893872	0.01	2	rbf	{'alpha': 0.01, 'gamma': 2, 'kernel': 'rbf'}	0.9998797002973675	0.9998236536078225	0.9998346492787124	0.9998426761684731	0.999829170907459	0.999841970051967	1.988453653360158e-05	6	0.9998486362625464	0.9998520193121696	0.9998605944577058	0.9998471335502259	0.9998495085502658	0.9998515784265827	4.778720337592947e-06
