2.96194498864291E-021,7.18235664678368E-021,1.30623564919274E-020,2.11166935015567E-020,3.20038901173419E-020,4.65640431327629E-020,6.58661524942318E-020,9.12672874651688E-020,1.24486426410935E-019,1.67696434323135E-019,2.23638376037099E-019,2.957631944073E-019,3.88406675242135E-019,5.07004484318059E-019,6.58354704601E-019,8.50935345668902E-019,1.09528302579767E-018,1.4044351163455E-018,1.79442868035205E-018,2.28483120072493E-018,2.89924264105729E-018,3.6656420677085E-018,4.61633055513139E-018,5.78700245713174E-018,7.21408373528389E-018,8.92877595415655E-018,1.09450044103798E-017,1.32362794675486E-017,1.56926247904896E-017,1.80419505571105E-017,1.97083608204687E-017,1.41514150507308E-017,9.65565875601518E-018,6.39042914914405E-018,4.14783445564943E-018,2.65742129052133E-018,1.68731235180759E-018,1.06453982602573E-018,6.68525174066922E-019,4.18388137982681E-019,2.61158062492852E-019,1.62681844801443E-019,1.0117231045317E-019,6.28341006385291E-020,3.8978825674339E-020,2.41559960294724E-020
3.17779686746335E-021,7.70163713673503E-021,1.39991840860337E-020,2.26188378541518E-020,3.4261650845617E-020,4.98213138445973E-020,7.04341773089575E-020,9.75417263068486E-020,1.3296847385594E-019,1.79018885845439E-019,2.38597704357967E-019,3.15358883060814E-019,4.13889245862942E-019,5.39933827148233E-019,7.00670438776905E-019,9.05040927913284E-019,1.16414507707408E-018,1.49169875655503E-018,1.90454825144112E-018,2.42321315754181E-018,3.07239291207199E-018,3.88130286254305E-018,4.88358013521442E-018,6.11627427878606E-018,7.61703729842443E-018,9.41792066568746E-018,1.15329439445855E-017,1.39344219253561E-017,1.65092312688755E-017,1.89795596179363E-017,2.07611208616618E-017,1.50666043870132E-017,1.04049196430295E-017,6.97414434012975E-018,4.58559078958895E-018,2.97635120256293E-018,1.91456955950559E-018,1.22369996746606E-018,7.78478511664088E-019,4.93515165502576E-019,3.12028204611933E-019,1.96869087579849E-019,1.24002112695944E-019,7.7996476422817E-020,4.90010903530983E-020,3.07529230647481E-020
3.41121292872205E-021,8.26214334004069E-021,1.50085084810429E-020,2.42341786364655E-020,3.66849108518806E-020,5.33105730711609E-020,7.53179132310457E-020,1.04236398401505E-019,1.42000213365714E-019,1.91050174881709E-019,2.54460088279085E-019,3.36092931194643E-019,4.40793145910561E-019,5.74622144541393E-019,7.4514465182807E-019,9.61773290933481E-019,1.23617704807756E-018,1.5827544633867E-018,2.01916196322006E-018,2.56686702765489E-018,3.25165670823137E-018,4.10396008657708E-018,5.15871368628634E-018,6.45426831881354E-018,8.02942924852341E-018,9.91700883272242E-018,1.21310270059004E-017,1.46425316503825E-017,1.73352577529492E-017,1.9925845907408E-017,2.1822107322746E-017,1.59938857580033E-017,1.11701226723027E-017,7.57602403943957E-018,5.04176720985614E-018,3.31242575186764E-018,2.15680739455835E-018,1.39534271684542E-018,8.984597717125E-019,5.76469870507415E-019,3.68869148076685E-019,2.35525591312803E-019,1.5012514162303E-019,9.55535486966154E-020,6.07450246700445E-020,3.85755243911628E-020
3.66254801593991E-021,8.86464390906714E-021,1.60915669475743E-020,2.59644664970942E-020,3.92759606305633E-020,5.70346480576193E-020,8.05206764595754E-020,1.113549963747E-019,1.51585510586685E-019,2.03794012101508E-019,2.71228587965414E-019,3.57967031434225E-019,4.69117695070655E-019,6.11065008138465E-019,7.91767325853986E-019,1.0211144080789E-018,1.31134978420762E-018,1.6775580106243E-018,2.13820564000482E-018,2.71570280820612E-018,3.43691134689349E-018,4.33345073366807E-018,5.4415198769265E-018,6.80071734478138E-018,8.45093051412159E-018,1.04256468455503E-017,1.27387976364667E-017,1.53600981216593E-017,1.81701500455789E-017,2.08802154127443E-017,2.28906576630493E-017,1.69324119648187E-017,1.19503119595893E-017,8.1951776946471E-018,5.51567268839097E-018,3.66520466281745E-018,2.41382113079919E-018,1.5794487963936E-018,1.02857577926925E-018,6.67431617380051E-019,4.31891301864299E-019,2.78864248953093E-019,1.79739346842531E-019,1.15679335474371E-019,7.43575277323466E-020,4.77440175648038E-020
3.93221139232656E-021,9.51002900374063E-021,1.72497997729129E-020,2.78117528939329E-020,4.20375075189951E-020,6.09969192041232E-020,8.60464950445726E-020,1.18902107953614E-019,1.61729336327296E-019,2.1725545260382E-019,2.88907879150247E-019,3.80984798147332E-019,4.98864480037715E-019,6.49260646530146E-019,8.40531542581019E-019,1.08304985965253E-018,1.38963832741566E-018,1.77607006613155E-018,2.26162084194053E-018,2.86963726737206E-018,3.62804220815812E-018,4.5696214828602E-018,5.73179909027047E-018,7.1553683333955E-018,8.88122919929091E-018,1.09434616171529E-017,1.33558238998835E-017,1.60866381436786E-017,1.90133841406201E-017,2.18421073109509E-017,2.39661488226834E-017,1.78813882264002E-017,1.27445844374772E-017,8.83074950371818E-018,6.00662469217389E-018,4.03423263381856E-018,2.68537573085612E-018,1.7759621840312E-018,1.1688970663214E-018,7.66548147794798E-019,5.01280005649085E-019,3.27079675866304E-019,2.13030470662866E-019,1.3854056607182E-019,8.99818948625133E-020,5.83775813172085E-020
4.22065394206398E-021,1.01992810226007E-020,1.84848001954054E-020,2.97783141885797E-020,4.49725681378588E-020,6.52011742281368E-020,9.18999173188271E-020,1.26882970400527E-019,1.72437457964436E-019,2.31440514615677E-019,3.07503788969764E-019,4.05151210040097E-019,5.30036693628122E-019,6.89209171215229E-019,8.91432587595194E-019,1.14756780853348E-018,1.47102075860239E-018,1.87825489916504E-018,2.38935343837518E-018,3.02859238778944E-018,3.8249410544491E-018,4.81232690096518E-018,6.02936151532244E-018,7.51798045350355E-018,9.32002845834226E-018,1.14700983498627E-017,1.39816955479191E-017,1.68216934373048E-017,1.98644637668418E-017,2.28109914067064E-017,2.50479940782846E-017,1.88400677745304E-017,1.35520862361283E-017,9.48191775219182E-018,6.51395168685611E-018,4.41904382099795E-018,2.97121082934708E-018,1.98479448644654E-018,1.31946107321139E-018,8.73937502836692E-019,5.77196342155148E-019,3.80348200451903E-019,2.50171516263337E-019,1.64295880250782E-019,1.07756934612806E-019,7.059351186761E-020
4.52835863178615E-021,1.09334527795098E-020,1.97982770624471E-020,3.18665950190678E-020,4.80843881412817E-020,6.96514993563714E-020,9.80858689872609E-020,1.35303287358811E-019,1.8371620935246E-019,2.4635589530123E-019,3.27022950172033E-019,4.30472195117383E-019,5.62638642944734E-019,7.30912000832685E-019,9.44467284270254E-019,1.21465823856432E-018,1.55547733669161E-018,1.98407941802824E-018,2.52135254361514E-018,3.19249420114669E-018,4.0275047649921E-018,5.06142807690893E-018,6.33402567846357E-018,7.88832348818645E-018,9.76704479857843E-018,1.20052187094268E-017,1.46160220653177E-017,1.75648285723568E-017,2.07229182346176E-017,2.37863658504396E-017,2.61356402421324E-017,1.98077479504184E-017,1.43720093563286E-017,1.01478939546833E-017,7.03699505011398E-018,4.81916560564574E-018,3.27104510778248E-018,2.20582892938388E-018,1.48027520472194E-018,9.89689987292577E-019,6.59778108387729E-019,4.38828064827139E-019,2.91322428611852E-019,1.93095213319193E-019,1.27816231455983E-019,8.45064823941063E-020
4.85583329174706E-021,1.17136509881453E-020,2.1192026575694E-020,3.40791654665462E-020,5.13763815426601E-020,7.43521971067038E-020,1.04609545216381E-019,1.44169090668834E-019,1.95572317388203E-019,2.62008756767805E-019,3.47472541025486E-019,4.56954318863464E-019,5.96675380286071E-019,7.7437142955352E-019,9.99633494922441E-019,1.2843123844885E-018,1.64298985425554E-018,2.09351244917895E-018,2.65756971796054E-018,3.36127190966627E-018,4.23563437534997E-018,5.31679157466794E-018,6.64561730146293E-018,8.26617658504441E-018,1.02220067065939E-017,1.25484993119296E-017,1.52584310111771E-017,1.83156291754529E-017,2.15883005342182E-017,2.4767755096116E-017,2.72285651565383E-017,2.0783766730965E-017,1.52035886123072E-017,1.0827921864668E-017,7.5751105085359E-018,5.23412175313931E-018,3.58458012753211E-018,2.4389239825825E-018,1.6513197200062E-018,1.11387013410836E-018,7.49140898084785E-019,5.02659792869458E-019,3.36629955736092E-019,2.25079346381701E-019,1.50287543689257E-019,1.00227903119119E-019
5.20360507396252E-021,1.25410235902223E-020,2.26679106279252E-020,3.64186882439379E-020,5.48520842854878E-020,7.93077234485393E-020,1.11476328268482E-019,1.53486635050874E-019,2.08012770039208E-019,2.78406563510126E-019,3.68860088100581E-019,4.84604548235381E-019,6.32152424303431E-019,8.19590301570738E-019,1.05692974515469E-018,1.35652230312191E-018,1.73354115295395E-018,2.20652419470586E-018,2.79795836494986E-018,3.53485722012968E-018,4.44923434350141E-018,5.57828862365629E-018,6.96396840418448E-018,8.65132725449505E-018,1.06846535220394E-017,1.30996304540257E-017,1.59085665960223E-017,1.90737003623934E-017,2.24601856453251E-017,2.57547080654826E-017,2.83262754435245E-017,2.17674996250214E-017,1.60460988220629E-017,1.15212764002602E-017,8.12766918986558E-018,5.66343505498676E-018,3.91150368188617E-018,2.68391664094617E-018,1.83255044502857E-018,1.2465186376748E-018,8.45379256758455E-019,5.71966689010321E-019,3.86227661009192E-019,2.6037960151363E-019,1.75292325002848E-019,1.17865377501047E-019
5.57221614075747E-021,1.34167499081846E-020,2.42278399906888E-020,3.88878932700282E-020,5.85151183255558E-020,8.45226392804041E-020,1.18691724031102E-019,1.63262317126278E-019,2.21044715107051E-019,2.9555695801941E-019,3.91193315740308E-019,5.1343007199684E-019,6.69075548271649E-019,8.66571764537355E-019,1.1163549399157E-018,1.43128054972683E-018,1.82711475807775E-018,2.32308582282481E-018,2.94247327506443E-018,3.71318383678524E-018,4.66821198566715E-018,5.84579448770958E-018,7.28891659244127E-018,9.0435705574298E-018,1.11547345027965E-017,1.36583150346996E-017,1.65660884485187E-017,1.98386653558233E-017,2.33381690255147E-017,2.6746796491229E-017,2.94283044763507E-017,2.27583568897975E-017,1.68988522239027E-017,1.22272625215023E-017,8.69405836483803E-018,6.10662953182515E-018,4.25149272262389E-018,2.94062538564676E-018,2.02390130311049E-018,1.3876542330854E-018,9.48567878332668E-019,6.46855436716048E-019,4.4023606026651E-019,2.99117662706949E-019,2.02945357737962E-019,1.3752224870711E-019
